Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
The Anonymous People,http://www.boxofficemojo.com/movies/?id=anonymouspeople.htm,08/16/2013,Unrated,N/A,null,13,187459,null,null
Another 48 HRS.,http://www.boxofficemojo.com/movies/?id=another48hrs.htm,06/08/1990,R,95,19475559,2721,80818974,72700000,153518974
Another Country,http://www.boxofficemojo.com/movies/?id=anothercountry.htm,06/29/1984,PG,90,null,null,null,null,null
Another Day in Paradise,http://www.boxofficemojo.com/movies/?id=anotherdayinparadise.htm,12/30/1998,R,101,14900,65,1036818,null,null
Another Earth,http://www.boxofficemojo.com/movies/?id=anotherearth.htm,07/22/2011,PG-13,92,77740,94,1321194,455741,1776935
Another Gay Movie,http://www.boxofficemojo.com/movies/?id=anothergaymovie.htm,07/28/2006,Unrated,92,33316,20,654132,91195,745327
Another Gay Sequel:Gays Gone Wild,http://www.boxofficemojo.com/movies/?id=anothergaysequel.htm,08/29/2008,Unrated,90,21086,7,104828,null,null
Another Happy Day,http://www.boxofficemojo.com/movies/?id=anotherhappyday.htm,11/18/2011,R,115,8464,2,8464,347224,355688
Another Stakeout,http://www.boxofficemojo.com/movies/?id=anotherstakeout.htm,07/23/1993,PG-13,109,5418316,1477,20208496,null,null
Another Thin Man,http://www.boxofficemojo.com/movies/?id=anotherthinman.htm,11/17/1939,Unrated,103,null,null,null,null,null
Another Time Another Place,http://www.boxofficemojo.com/movies/?id=anothertimeanotherplace.htm,05/02/1958,Unrated,98,null,null,null,null,null
Another Woman,http://www.boxofficemojo.com/movies/?id=anotherwoman.htm,10/14/1988,PG,81,75196,24,1562749,null,null
Another Year,http://www.boxofficemojo.com/movies/?id=anotheryear.htm,12/29/2010,PG-13,129,111869,236,3205706,16517060,19722766
Another You,http://www.boxofficemojo.com/movies/?id=anotheryou.htm,07/26/1991,R,94,1537965,1287,2865916,null,null
The Answer Man,http://www.boxofficemojo.com/movies/?id=answerman.htm,07/24/2009,R,95,12998,6,26676,null,null
Answers to Nothing,http://www.boxofficemojo.com/movies/?id=answerstonothing.htm,12/02/2011,R,123,14262,21,22029,null,null
The Ant Bully,http://www.boxofficemojo.com/movies/?id=antbully.htm,07/28/2006,PG,82,8432465,3050,28142535,27038594,55181129
Ant-Man,http://www.boxofficemojo.com/movies/?id=antman.htm,07/17/2015,Not Yet Rated,N/A,null,null,null,null,null
Antarctica,http://www.boxofficemojo.com/movies/?id=antarctica08.htm,08/29/2008,R,110,798,2,21679,n/a,21679
Antarctica:A Year on Ice,http://www.boxofficemojo.com/movies/?id=antarctica2014.htm,11/28/2014,PG,91,32238,30,288757,null,null
Antboy,http://www.boxofficemojo.com/movies/?id=antboy.htm,04/16/2014,PG,77,null,null,null,1766,null
Anthony Kaun Hai,http://www.boxofficemojo.com/movies/?id=anthonykaunhai.htm,08/04/2006,Unrated,127,55418,18,55418,null,null
Antichrist,http://www.boxofficemojo.com/movies/?id=antichrist.htm,10/23/2009,Unrated,104,71397,19,404122,387745,791867
Antitrust,http://www.boxofficemojo.com/movies/?id=antitrust.htm,01/12/2001,PG-13,108,5486209,2433,11328094,6867516,18195610
Antoine and Antoinette (2013 re-issue),http://www.boxofficemojo.com/movies/?id=antoine.htm,09/25/2013,Unrated,84,4147,1,9704,null,null
Antonia,http://www.boxofficemojo.com/movies/?id=antonia.htm,09/21/2007,PG-13,89,3550,2,3550,null,null
Antonia and Jane,http://www.boxofficemojo.com/movies/?id=antoniaandjane.htm,10/11/1991,R,71,7471,23,1002078,null,null
Antonia's Line,http://www.boxofficemojo.com/movies/?id=antoniasline.htm,02/02/1996,R,102,45051,73,4228275,21046,4249321
Antwone Fisher,http://www.boxofficemojo.com/movies/?id=antwonefisher.htm,12/19/2002,PG-13,120,3783122,1021,21078145,2289441,23367586
Antz,http://www.boxofficemojo.com/movies/?id=antz.htm,10/02/1998,PG,84,17195160,2929,90757863,81000000,171757863
Anubis,http://www.boxofficemojo.com/movies/?id=anubis.htm,03/23/2018,Not Yet Rated,N/A,null,null,null,null,null
Anvil! The Story of Anvil,http://www.boxofficemojo.com/movies/?id=anvil.htm,04/10/2009,Unrated,90,34651,27,667911,283469,951380
Any Day Now,http://www.boxofficemojo.com/movies/?id=anydaynow.htm,12/14/2012,R,97,40489,19,201395,n/a,201395
Any Given Sunday,http://www.boxofficemojo.com/movies/?id=anygivensunday.htm,12/22/1999,R,157,13584625,2505,75530832,24700000,100230832
Any Which Way You Can,http://www.boxofficemojo.com/movies/?id=anywhichwayyoucan.htm,12/17/1980,PG,116,8024663,null,70687344,null,null
Anything But Love,http://www.boxofficemojo.com/movies/?id=anythingbutlove.htm,11/14/2003,PG-13,99,24641,16,81451,null,null
Anything Else,http://www.boxofficemojo.com/movies/?id=anythingelse.htm,09/19/2003,R,108,1673125,1033,3212310,10372765,13585075
Anything For Alice,http://www.boxofficemojo.com/movies/?id=anythingforalice.htm,12/17/2014,Unrated,99,738,1,1092,null,null
Anywhere But Here,http://www.boxofficemojo.com/movies/?id=anywherebuthere.htm,11/12/1999,PG-13,114,5607137,1686,18670401,4961528,23631929
Apaharan,http://www.boxofficemojo.com/movies/?id=apaharan.htm,12/02/2005,Unrated,173,25168,17,44133,null,null
Apart (2012),http://www.boxofficemojo.com/movies/?id=apart2012.htm,03/09/2012,Unrated,86,3161,2,3161,null,null
Apartment 1303,http://www.boxofficemojo.com/movies/?id=apartment1303.htm,07/25/2013,R,85,null,null,null,null,null
Apartment 143,http://www.boxofficemojo.com/movies/?id=apartment143.htm,06/01/2012,R,80,256,1,383,425876,426259
Apartment Zero,http://www.boxofficemojo.com/movies/?id=apartmentzero.htm,09/15/1989,R,124,21823,22,1267578,null,null
Apocalypse Now,http://www.boxofficemojo.com/movies/?id=apocalypsenow.htm,08/15/1979,R,153,118558,null,83471511,null,null
Apocalypse Now (Re-issue),http://www.boxofficemojo.com/movies/?id=apocalypsenow87.htm,08/28/1987,R,153,15513,6,83471511,null,null
Apocalypse Now Redux,http://www.boxofficemojo.com/movies/?id=apocalypsenowredux.htm,08/03/2001,R,202,96992,105,83471511,7916979,91388490
Apocalypto,http://www.boxofficemojo.com/movies/?id=apocalypto.htm,12/08/2006,R,138,15005604,2465,50866635,69787702,120654337
Apollo 13,http://www.boxofficemojo.com/movies/?id=apollo13.htm,06/30/1995,PG,140,25353380,2347,173837933,181400000,355237933
Apollo 13:The IMAX Experience (IMAX),http://www.boxofficemojo.com/movies/?id=apollo13imax.htm,09/20/2002,PG,116,200645,19,173837933,322430,174160363
Apollo 18,http://www.boxofficemojo.com/movies/?id=apollo18.htm,09/02/2011,PG-13,86,8704271,3330,17687709,7875215,25562924
