Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
House Arrest,http://www.boxofficemojo.com/movies/?id=housearrest.htm,08/16/1996,PG,111,2275808,1623,7032782,null,null
House at the End of The Street,http://www.boxofficemojo.com/movies/?id=houseattheendofthestreet.htm,09/21/2012,PG-13,101,12287234,3083,31611916,7850222,39462138
The House Bunny,http://www.boxofficemojo.com/movies/?id=housebunny.htm,08/22/2008,PG-13,94,14533702,2763,48237389,22205551,70442940
House Calls,http://www.boxofficemojo.com/movies/?id=housecalls.htm,01/01/1978,PG,123,null,null,28460702,null,null
The House I Live In,http://www.boxofficemojo.com/movies/?id=houseilivein.htm,10/05/2012,Unrated,N/A,16453,12,210752,n/a,210752
House II,http://www.boxofficemojo.com/movies/?id=house2.htm,08/28/1987,PG-13,88,2573934,1069,7800000,null,null
House of 1000 Corpses,http://www.boxofficemojo.com/movies/?id=houseof1000corpses.htm,04/11/2003,R,88,2522026,847,12634962,4194583,16829545
House of Cards,http://www.boxofficemojo.com/movies/?id=houseofcards.htm,06/25/1993,PG-13,109,12753,29,322871,null,null
House of D,http://www.boxofficemojo.com/movies/?id=houseofd.htm,04/15/2005,PG-13,97,36371,305,388532,667,389199
House of Flying Daggers,http://www.boxofficemojo.com/movies/?id=houseofflyingdaggers.htm,12/03/2004,PG-13,119,1737497,1189,11050094,81813851,92863945
House of Fools,http://www.boxofficemojo.com/movies/?id=houseoffools.htm,04/25/2003,R,104,7246,8,57862,null,null
House of Frankenstein,http://www.boxofficemojo.com/movies/?id=houseoffrankenstein.htm,12/01/1944,Unrated,71,null,null,null,null,null
House of Games,http://www.boxofficemojo.com/movies/?id=houseofgames.htm,10/16/1987,R,102,116677,9,2585639,null,null
The House of Mirth,http://www.boxofficemojo.com/movies/?id=houseofmirth.htm,12/22/2000,PG,140,48770,63,3043284,2121120,5164404
House of Pleasures,http://www.boxofficemojo.com/movies/?id=houseofpleasures.htm,11/25/2011,Unrated,N/A,4766,3,19327,null,null
The House of Sand,http://www.boxofficemojo.com/movies/?id=houseofsand.htm,08/11/2006,R,114,31405,32,539285,638890,1178175
House of Sand and Fog,http://www.boxofficemojo.com/movies/?id=houseofsandandfog.htm,12/19/2003,R,126,45572,598,13040288,3902507,16942795
House of the Dead,http://www.boxofficemojo.com/movies/?id=houseofthedead.htm,10/10/2003,R,92,5683280,1540,10249719,3568462,13818181
The House of the Devil,http://www.boxofficemojo.com/movies/?id=houseofthedevil.htm,10/30/2009,R,95,25195,7,101215,null,null
House of the Sleeping Beauties,http://www.boxofficemojo.com/movies/?id=houseofthesleepingbeauties.htm,11/14/2008,Unrated,99,1535,1,4509,null,null
The House of the Spirits,http://www.boxofficemojo.com/movies/?id=houseofthespirits.htm,04/01/1994,R,133,1719085,476,6265311,null,null
House of Usher,http://www.boxofficemojo.com/movies/?id=houseofusher.htm,05/09/2008,R,83,891,2,1677,null,null
House of Wax,http://www.boxofficemojo.com/movies/?id=houseofwax.htm,05/06/2005,R,110,12077236,3111,32064800,36701321,68766121
House of Wax,http://www.boxofficemojo.com/movies/?id=houseofwax53.htm,04/10/1953,GP,90,null,null,23750000,null,null
The House of Yes,http://www.boxofficemojo.com/movies/?id=houseofyes.htm,10/10/1997,R,85,63266,54,626057,null,null
A House on a Hill,http://www.boxofficemojo.com/movies/?id=houseonahill.htm,11/14/2003,Unrated,89,678,1,984,null,null
The House on Carroll Street,http://www.boxofficemojo.com/movies/?id=houseoncarrollstreet.htm,03/04/1988,PG,111,null,null,459824,null,null
House on Haunted Hill,http://www.boxofficemojo.com/movies/?id=houseonhauntedhill.htm,10/29/1999,R,95,15946032,2710,40846082,n/a,40846082
House on Haunted Hill (1959),http://www.boxofficemojo.com/movies/?id=houseonhauntedhill59.htm,02/17/1959,Unrated,75,null,null,null,null,null
The House on Sorority Row,http://www.boxofficemojo.com/movies/?id=houseonsororityrow.htm,01/21/1983,R,92,617661,153,10604986,null,null
House Party,http://www.boxofficemojo.com/movies/?id=houseparty.htm,03/09/1990,R,100,3200568,700,26385627,null,null
House Party 2,http://www.boxofficemojo.com/movies/?id=houseparty2.htm,10/25/1991,R,94,6027105,1185,19438638,null,null
House Party 3,http://www.boxofficemojo.com/movies/?id=houseparty3.htm,01/14/1994,R,93,6850010,855,19281235,null,null
The House Where Evil Dwells,http://www.boxofficemojo.com/movies/?id=housewhereevildwells.htm,05/14/1982,R,88,null,null,667863,null,null
Housefull,http://www.boxofficemojo.com/movies/?id=housefull.htm,04/30/2010,Unrated,135,642156,82,1183658,1156892,2340550
Housefull 2,http://www.boxofficemojo.com/movies/?id=housefull2.htm,04/06/2012,Unrated,145,847132,121,1791780,n/a,1791780
Houseguest,http://www.boxofficemojo.com/movies/?id=houseguest.htm,01/06/1995,PG,109,5831302,1604,26325256,null,null
Household Saints,http://www.boxofficemojo.com/movies/?id=householdsaints.htm,09/15/1993,R,124,null,null,712418,null,null
The Housekeeper,http://www.boxofficemojo.com/movies/?id=housekeeper.htm,07/11/2003,R,91,42083,24,467288,n/a,467288
Housekeeping,http://www.boxofficemojo.com/movies/?id=housekeeping.htm,11/25/1987,PG,116,32171,2,1083282,null,null
The Housemaid,http://www.boxofficemojo.com/movies/?id=housemaid.htm,01/21/2011,Unrated,107,16670,12,157961,14617654,14775615
Housesitter,http://www.boxofficemojo.com/movies/?id=housesitter.htm,06/12/1992,PG,102,9106950,1987,58500635,36400000,94900635
How About You,http://www.boxofficemojo.com/movies/?id=howaboutyou.htm,11/14/2008,Unrated,100,6022,7,78234,675950,754184
How Do You Know,http://www.boxofficemojo.com/movies/?id=jimbrooks10.htm,12/17/2010,PG-13,116,7484696,2483,30212620,18456287,48668907
How Green Was My Valley,http://www.boxofficemojo.com/movies/?id=howgreenwasmyvalley.htm,10/28/1941,Unrated,118,null,null,null,null,null
How High,http://www.boxofficemojo.com/movies/?id=howhigh.htm,12/21/2001,R,93,7102260,1273,31178740,105000,31283740
How I Ended This Summer,http://www.boxofficemojo.com/movies/?id=howiendedthissummer.htm,02/04/2011,Unrated,124,4968,1,8733,613911,622644
How I Got Into College,http://www.boxofficemojo.com/movies/?id=howigotintocollege.htm,05/19/1989,PG-13,86,651850,743,1642239,null,null
How I Killed My Father,http://www.boxofficemojo.com/movies/?id=howikilledmyfather.htm,08/23/2002,Unrated,100,7480,5,145396,null,null
How I Live Now,http://www.boxofficemojo.com/movies/?id=howilivenow.htm,11/08/2013,R,101,28547,68,60213,null,null
How Much Does Your Building Weigh Mr. Foster?,http://www.boxofficemojo.com/movies/?id=mrfoster.htm,01/25/2012,Unrated,78,2759,4,13013,null,null
How She Move,http://www.boxofficemojo.com/movies/?id=howshemove.htm,01/25/2008,PG-13,98,3957471,1531,7070641,1462546,8533187
How Stella Got Her Groove Back,http://www.boxofficemojo.com/movies/?id=howstellagothergrooveback.htm,08/14/1998,R,124,11318919,1399,37672941,1605781,39278722
How the Garcia Girls Spent Their Summer,http://www.boxofficemojo.com/movies/?id=howthegarciagirlsspenttheirsummer.htm,05/18/2008,R,128,91432,84,215303,null,null
How the Grinch Stole Christmas,http://www.boxofficemojo.com/movies/?id=grinch.htm,11/17/2000,PG,104,55082330,3256,260044825,85096578,345141403
How the West Was Won,http://www.boxofficemojo.com/movies/?id=howthewestwaswon.htm,1962,Unrated,162,null,null,76729,null,null
How the West Was Won (re-issue),http://www.boxofficemojo.com/movies/?id=howthewestwaswon03.htm,09/12/2003,G,162,28568,1,76729,null,null
How to Be a Serial Killer,http://www.boxofficemojo.com/movies/?id=howtobeaserialkiller.htm,07/24/2009,R,91,899,1,899,null,null
